epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.84,0.66582,2.09378,1.11872,0.82179,0.66446,0.85538,0.73107,0.54357,1.74602,0.99757,0.000332066,0.000332066,0.000332066
2,418.277,0.70466,1.44527,1.11947,0.7745,0.78069,0.84159,0.70539,0.62053,1.32744,1.04939,0.000639049,0.000639049,0.000639049
3,677.294,0.74337,1.32403,1.14031,0.84986,0.75288,0.85793,0.70237,0.69535,1.21214,1.09992,0.000919633,0.000919633,0.000919633
4,942.565,0.72125,1.22259,1.11952,0.76278,0.77084,0.81767,0.67341,0.6513,1.14831,1.0652,0.0008812,0.0008812,0.0008812
5,1276.96,0.68705,1.09365,1.10652,0.88528,0.80467,0.88265,0.75128,0.58621,0.86314,1.02963,0.0008416,0.0008416,0.0008416
6,1647.07,0.66895,0.99139,1.09009,0.8851,0.7826,0.89019,0.7594,0.5605,0.84451,1.0088,0.000802,0.000802,0.000802
7,2005.48,0.62317,0.92019,1.06987,0.82334,0.83593,0.91385,0.78863,0.5397,0.9037,0.98608,0.0007624,0.0007624,0.0007624
8,2344.54,0.61706,0.87941,1.06096,0.91062,0.88995,0.94697,0.82127,0.52895,0.64759,0.98442,0.0007228,0.0007228,0.0007228
9,2678.82,0.61326,0.82477,1.05946,0.91168,0.88833,0.94273,0.8134,0.54854,0.63147,0.98462,0.0006832,0.0006832,0.0006832
10,3007.62,0.58085,0.77973,1.04017,0.89074,0.85291,0.93695,0.82091,0.50619,0.66729,0.97704,0.0006436,0.0006436,0.0006436
11,3317.26,0.5667,0.75382,1.04104,0.93386,0.88602,0.95913,0.85645,0.47531,0.5422,0.93791,0.000604,0.000604,0.000604
12,3635.26,0.55345,0.69786,1.02659,0.89,0.8802,0.95006,0.85261,0.47701,0.58076,0.94972,0.0005644,0.0005644,0.0005644
13,3977.38,0.54113,0.68295,1.01963,0.94484,0.90609,0.96381,0.86123,0.47674,0.51009,0.94969,0.0005248,0.0005248,0.0005248
14,4296.93,0.53045,0.66382,1.01959,0.93788,0.87417,0.956,0.85371,0.46184,0.50649,0.9455,0.0004852,0.0004852,0.0004852
15,4590.09,0.52438,0.62678,1.00908,0.94936,0.91974,0.96682,0.87089,0.44718,0.44639,0.93204,0.0004456,0.0004456,0.0004456
16,4996.08,0.41797,0.49632,0.94433,0.9336,0.90335,0.96146,0.86634,0.44145,0.48955,0.92502,0.000406,0.000406,0.000406
17,5423.34,0.39769,0.46132,0.9307,0.93777,0.91387,0.96421,0.86369,0.45521,0.447,0.9326,0.0003664,0.0003664,0.0003664
18,5886.49,0.38783,0.43169,0.92732,0.9614,0.91277,0.97329,0.88852,0.41484,0.41262,0.90515,0.0003268,0.0003268,0.0003268
19,6243.45,0.36755,0.39624,0.90475,0.94904,0.90319,0.96202,0.8693,0.42719,0.44203,0.91853,0.0002872,0.0002872,0.0002872
20,6701.99,0.35886,0.37829,0.90334,0.94729,0.91913,0.96624,0.87792,0.41528,0.41609,0.90894,0.0002476,0.0002476,0.0002476
21,7137.73,0.34792,0.35185,0.89687,0.94191,0.91521,0.96837,0.88173,0.40177,0.40857,0.90717,0.000208,0.000208,0.000208
22,7640.93,0.32517,0.32859,0.89084,0.94725,0.93328,0.97659,0.90134,0.3891,0.36542,0.89487,0.0001684,0.0001684,0.0001684
23,8168.69,0.31116,0.3039,0.87877,0.95807,0.92236,0.97419,0.89735,0.38326,0.35725,0.89659,0.0001288,0.0001288,0.0001288
24,8711.05,0.30411,0.28997,0.87399,0.96483,0.92304,0.97465,0.90263,0.36896,0.34623,0.88526,8.92e-05,8.92e-05,8.92e-05
25,9276.64,0.29498,0.28134,0.87318,0.96856,0.92722,0.97728,0.90412,0.36542,0.32995,0.88328,4.96e-05,4.96e-05,4.96e-05
